epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,4947.78,0.65581,0.32974,0.80226,0.88261,0.81763,0.86274,0.63907,0.63908,0.35052,0.8149,0.0005075,0.0005075,0.0005075
92,5004.76,0.6202,0.32329,0.80273,0.88521,0.83999,0.86578,0.64692,0.63182,0.34774,0.81333,0.00049925,0.00049925,0.00049925
93,5060.14,0.62474,0.31862,0.80443,0.91946,0.78706,0.86138,0.64562,0.64289,0.34539,0.81606,0.000491,0.000491,0.000491
94,5115.58,0.62316,0.3155,0.79728,0.90118,0.81736,0.8607,0.64475,0.64504,0.34479,0.81481,0.00048275,0.00048275,0.00048275
95,5166.97,0.59747,0.30312,0.80137,0.88683,0.8403,0.86721,0.64381,0.63801,0.3378,0.81557,0.0004745,0.0004745,0.0004745
96,5222.43,0.61339,0.31488,0.80167,0.91783,0.80975,0.85997,0.63662,0.63294,0.34155,0.81433,0.00046625,0.00046625,0.00046625
97,5274.38,0.59803,0.30817,0.79986,0.90801,0.83155,0.87336,0.64588,0.633,0.34431,0.81422,0.000458,0.000458,0.000458
98,5325.28,0.59294,0.30089,0.80245,0.92623,0.84533,0.87685,0.66417,0.63772,0.33976,0.81503,0.00044975,0.00044975,0.00044975
99,5377.1,0.60757,0.30409,0.80226,0.93486,0.79287,0.87366,0.65811,0.62539,0.34098,0.81394,0.0004415,0.0004415,0.0004415
100,5428.54,0.60938,0.3054,0.79848,0.94126,0.81273,0.87546,0.63845,0.69294,0.35222,0.81635,0.00043325,0.00043325,0.00043325
101,5479.87,0.62877,0.31529,0.79828,0.90674,0.84712,0.8824,0.66488,0.63683,0.33393,0.81479,0.000425,0.000425,0.000425
102,5542,0.59181,0.29925,0.80046,0.92847,0.8249,0.88132,0.66071,0.62122,0.32503,0.81354,0.00041675,0.00041675,0.00041675
103,5598.92,0.60068,0.3004,0.79958,0.94369,0.80996,0.87373,0.64958,0.65013,0.35149,0.81504,0.0004085,0.0004085,0.0004085
104,5654.43,0.58565,0.29614,0.79613,0.93482,0.83108,0.87475,0.65535,0.63704,0.34248,0.81366,0.00040025,0.00040025,0.00040025
105,5709.57,0.58491,0.29603,0.79661,0.91229,0.84522,0.87173,0.66512,0.62554,0.33644,0.81403,0.000392,0.000392,0.000392
106,5760.45,0.57198,0.29002,0.79895,0.95048,0.80335,0.87016,0.65443,0.63288,0.34092,0.8145,0.00038375,0.00038375,0.00038375
107,5816.23,0.58746,0.29391,0.79927,0.92745,0.83107,0.87029,0.64675,0.64501,0.33884,0.81374,0.0003755,0.0003755,0.0003755
108,5871.74,0.58616,0.29599,0.79943,0.91764,0.81655,0.86105,0.64083,0.64057,0.33673,0.81412,0.00036725,0.00036725,0.00036725
109,5923.84,0.59708,0.30098,0.79459,0.87331,0.83512,0.86344,0.65456,0.63351,0.33567,0.81374,0.000359,0.000359,0.000359
110,5979.95,0.5745,0.29115,0.79545,0.89177,0.83178,0.87028,0.64822,0.63129,0.32654,0.81442,0.00035075,0.00035075,0.00035075
111,6032.56,0.56783,0.28522,0.79158,0.92498,0.83799,0.86847,0.65134,0.63246,0.3296,0.81509,0.0003425,0.0003425,0.0003425
112,6088.66,0.57079,0.2859,0.79608,0.90234,0.82805,0.87722,0.65653,0.63515,0.32975,0.81431,0.00033425,0.00033425,0.00033425
113,6143.98,0.58196,0.29031,0.7944,0.90791,0.83598,0.87856,0.65986,0.62725,0.32554,0.81553,0.000326,0.000326,0.000326
114,6194.87,0.57408,0.28998,0.79286,0.93528,0.82088,0.86943,0.6587,0.6266,0.33185,0.81505,0.00031775,0.00031775,0.00031775
115,6250.62,0.58751,0.29498,0.79374,0.92133,0.80977,0.86206,0.64608,0.62956,0.33298,0.81488,0.0003095,0.0003095,0.0003095
116,6301.45,0.57316,0.2883,0.79364,0.93054,0.82186,0.86346,0.64902,0.63193,0.33572,0.81654,0.00030125,0.00030125,0.00030125
117,6356.82,0.55494,0.27879,0.79305,0.91585,0.81658,0.86497,0.6465,0.62345,0.32543,0.81527,0.000293,0.000293,0.000293
118,6408.38,0.57137,0.28746,0.79382,0.91255,0.81938,0.86847,0.65851,0.62785,0.32864,0.81613,0.00028475,0.00028475,0.00028475
119,6463.45,0.55484,0.27994,0.79017,0.90597,0.82549,0.86835,0.65715,0.63538,0.32605,0.81407,0.0002765,0.0002765,0.0002765
120,6518.85,0.5614,0.28074,0.79708,0.91747,0.82121,0.87551,0.66341,0.62824,0.32183,0.81418,0.00026825,0.00026825,0.00026825
121,6574.58,0.5652,0.28171,0.79334,0.92093,0.83858,0.87522,0.66464,0.62573,0.32461,0.81244,0.00026,0.00026,0.00026
122,6629.49,0.5694,0.28513,0.79848,0.89744,0.83301,0.87575,0.66326,0.63001,0.3206,0.81465,0.00025175,0.00025175,0.00025175
123,6680.61,0.55368,0.27828,0.79239,0.9085,0.82633,0.87045,0.65875,0.61847,0.32215,0.81442,0.0002435,0.0002435,0.0002435
124,6736.21,0.54166,0.27547,0.79214,0.93126,0.83461,0.87056,0.6631,0.61898,0.3223,0.81231,0.00023525,0.00023525,0.00023525
125,6787.97,0.571,0.28634,0.79148,0.90964,0.82069,0.86966,0.65794,0.62721,0.32397,0.81215,0.000227,0.000227,0.000227
126,6842.78,0.56258,0.28207,0.79413,0.90259,0.83476,0.87497,0.66072,0.62702,0.31652,0.81323,0.00021875,0.00021875,0.00021875
127,6894.04,0.55696,0.27734,0.7922,0.91302,0.86514,0.88503,0.66526,0.62121,0.31256,0.81314,0.0002105,0.0002105,0.0002105
128,6950.48,0.55475,0.28183,0.79062,0.93184,0.86017,0.88973,0.66992,0.62663,0.32504,0.81352,0.00020225,0.00020225,0.00020225
129,7001.77,0.5463,0.27404,0.79085,0.94898,0.84275,0.88684,0.65827,0.6351,0.32614,0.81475,0.000194,0.000194,0.000194
130,7057.9,0.56127,0.27495,0.79385,0.94593,0.82039,0.86905,0.66605,0.618,0.32003,0.81415,0.00018575,0.00018575,0.00018575
131,7113.22,0.55296,0.27151,0.79243,0.90513,0.82709,0.87408,0.65745,0.62941,0.32072,0.81536,0.0001775,0.0001775,0.0001775
132,7168.57,0.54258,0.27126,0.78963,0.89319,0.8316,0.87313,0.6578,0.62695,0.32491,0.81481,0.00016925,0.00016925,0.00016925
133,7223.76,0.52706,0.26209,0.79243,0.91262,0.82677,0.87195,0.65702,0.62748,0.32327,0.81557,0.000161,0.000161,0.000161
134,7279.15,0.53844,0.26775,0.79401,0.91509,0.82718,0.87642,0.66427,0.61673,0.31498,0.81394,0.00015275,0.00015275,0.00015275
135,7331.2,0.54141,0.2681,0.79093,0.89219,0.83429,0.87532,0.65842,0.6228,0.31518,0.81366,0.0001445,0.0001445,0.0001445
136,7387.58,0.54334,0.26726,0.79177,0.91482,0.83576,0.87688,0.66179,0.62445,0.32131,0.81331,0.00013625,0.00013625,0.00013625
137,7442.92,0.52575,0.26204,0.79098,0.89359,0.82968,0.87007,0.66007,0.62476,0.32181,0.81424,0.000128,0.000128,0.000128
138,7494.57,0.54174,0.26715,0.78851,0.91671,0.82463,0.87092,0.66212,0.62255,0.31575,0.81376,0.00011975,0.00011975,0.00011975
139,7551.77,0.53697,0.26661,0.7885,0.90926,0.8414,0.87619,0.67115,0.6212,0.31703,0.8128,0.0001115,0.0001115,0.0001115
140,7602.69,0.53159,0.26508,0.78804,0.91654,0.84948,0.87966,0.66559,0.61723,0.31609,0.81283,0.00010325,0.00010325,0.00010325
141,7658.72,0.53229,0.26627,0.79086,0.9191,0.8463,0.87644,0.66926,0.62347,0.31426,0.81291,9.5e-05,9.5e-05,9.5e-05
142,7712.42,0.52748,0.26108,0.78935,0.93899,0.8424,0.88036,0.67012,0.62008,0.31423,0.81307,8.675e-05,8.675e-05,8.675e-05
143,7765.59,0.50244,0.2506,0.78847,0.92783,0.83722,0.87753,0.66502,0.62131,0.31438,0.81358,7.85e-05,7.85e-05,7.85e-05
144,7820.99,0.52681,0.25912,0.7941,0.92796,0.8376,0.87758,0.66216,0.62608,0.31332,0.81464,7.025e-05,7.025e-05,7.025e-05
145,7873.78,0.51077,0.25582,0.79057,0.92358,0.83878,0.8746,0.6588,0.62851,0.31664,0.81497,6.2e-05,6.2e-05,6.2e-05
146,7929.55,0.50254,0.25476,0.7899,0.95748,0.8443,0.87736,0.66466,0.62234,0.31657,0.81588,5.375e-05,5.375e-05,5.375e-05
147,7980.9,0.50224,0.24989,0.79001,0.95329,0.84213,0.8775,0.66658,0.61962,0.31429,0.81534,4.55e-05,4.55e-05,4.55e-05
148,8036.27,0.48948,0.24406,0.78596,0.93873,0.84369,0.87813,0.66714,0.62618,0.31357,0.81505,3.725e-05,3.725e-05,3.725e-05
149,8091.2,0.50341,0.24941,0.79036,0.94708,0.83615,0.8777,0.67068,0.62177,0.30951,0.81483,2.9e-05,2.9e-05,2.9e-05
150,8146.56,0.48246,0.24135,0.78453,0.94836,0.83667,0.87913,0.66703,0.61976,0.30879,0.81439,2.075e-05,2.075e-05,2.075e-05
