epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,5984.3,0.64793,0.34043,0.82628,0.84815,0.81938,0.86696,0.58303,0.9106,0.43544,0.93297,0.000620555,0.000620555,0.000620555
87,6050.52,0.63759,0.33075,0.82406,0.82833,0.83635,0.86049,0.56947,0.89074,0.42633,0.9294,0.000612981,0.000612981,0.000612981
88,6118.02,0.62192,0.32548,0.82618,0.91843,0.82831,0.87661,0.57942,0.88892,0.427,0.93154,0.00060538,0.00060538,0.00060538
89,6183.71,0.59685,0.31736,0.8207,0.88843,0.77913,0.84742,0.56421,0.90877,0.43571,0.93405,0.000597754,0.000597754,0.000597754
90,6251.05,0.59841,0.32199,0.82211,0.92118,0.79853,0.8617,0.59323,0.88261,0.42014,0.92578,0.000590105,0.000590105,0.000590105
91,6317.03,0.61289,0.32066,0.81689,0.90347,0.77468,0.84522,0.57679,0.87842,0.42049,0.92348,0.000582435,0.000582435,0.000582435
92,6384.73,0.60714,0.32049,0.81962,0.90991,0.79773,0.86331,0.58585,0.895,0.41995,0.92986,0.000574746,0.000574746,0.000574746
93,6452.21,0.57243,0.30833,0.81308,0.83472,0.84728,0.87497,0.59312,0.88964,0.42008,0.92965,0.00056704,0.00056704,0.00056704
94,6519.97,0.57929,0.30718,0.81276,0.91075,0.78319,0.86058,0.58174,0.89693,0.41583,0.93256,0.000559318,0.000559318,0.000559318
95,6587.31,0.58153,0.30778,0.81589,0.83939,0.84375,0.86496,0.58222,0.8791,0.418,0.92941,0.000551584,0.000551584,0.000551584
96,6654.92,0.57671,0.30227,0.81164,0.84869,0.77794,0.84694,0.57272,0.8852,0.41917,0.93267,0.000543837,0.000543837,0.000543837
97,6722.48,0.60971,0.31931,0.81199,0.83781,0.84443,0.86801,0.57488,0.89456,0.42144,0.93217,0.000536081,0.000536081,0.000536081
98,6790.05,0.58577,0.30898,0.81569,0.9027,0.81411,0.87627,0.59144,0.87909,0.40852,0.93118,0.000528318,0.000528318,0.000528318
99,6855.73,0.57572,0.29977,0.81707,0.91794,0.76959,0.86993,0.59423,0.88019,0.40556,0.9245,0.000520548,0.000520548,0.000520548
100,6923.27,0.56169,0.29284,0.81269,0.8488,0.83854,0.86628,0.58776,0.89249,0.41437,0.93083,0.000512775,0.000512775,0.000512775
101,6990.91,0.57359,0.30157,0.81253,0.91274,0.81264,0.87655,0.59565,0.87414,0.41257,0.92157,0.000505,0.000505,0.000505
102,7069.23,0.57699,0.30556,0.81591,0.85034,0.80127,0.83593,0.56347,0.88581,0.42524,0.92479,0.000497225,0.000497225,0.000497225
103,7134.88,0.58307,0.30405,0.81753,0.91961,0.76698,0.8323,0.57725,0.89075,0.42563,0.92418,0.000489452,0.000489452,0.000489452
104,7202,0.58841,0.30783,0.81866,0.89225,0.76913,0.84189,0.57736,0.87843,0.41812,0.92326,0.000481682,0.000481682,0.000481682
105,7267.62,0.55866,0.29653,0.81127,0.88267,0.78026,0.84981,0.5739,0.88894,0.41631,0.9248,0.000473919,0.000473919,0.000473919
106,7333.28,0.543,0.29327,0.80654,0.92275,0.81632,0.87843,0.58975,0.87663,0.40561,0.92411,0.000466163,0.000466163,0.000466163
107,7394.3,0.56681,0.29915,0.81557,0.89064,0.81791,0.86107,0.5808,0.87937,0.40742,0.92346,0.000458416,0.000458416,0.000458416
108,7460.44,0.55265,0.29061,0.80882,0.89614,0.79893,0.85364,0.58508,0.8856,0.40923,0.92546,0.000450682,0.000450682,0.000450682
109,7525.71,0.54378,0.28759,0.80783,0.90876,0.80055,0.86186,0.58507,0.88761,0.41064,0.92742,0.00044296,0.00044296,0.00044296
110,7591.25,0.5424,0.28894,0.81039,0.88557,0.82041,0.85855,0.58848,0.87887,0.40549,0.92367,0.000435254,0.000435254,0.000435254
111,7654.9,0.55042,0.29476,0.81614,0.86208,0.83125,0.85548,0.5868,0.88241,0.41284,0.92673,0.000427565,0.000427565,0.000427565
112,7720.49,0.53713,0.28742,0.80903,0.86186,0.8177,0.86706,0.58441,0.87692,0.40677,0.92588,0.000419895,0.000419895,0.000419895
113,7785.96,0.54579,0.28801,0.80709,0.82399,0.85341,0.8641,0.58346,0.87435,0.41787,0.92211,0.000412246,0.000412246,0.000412246
114,7846.89,0.52244,0.27775,0.80821,0.82049,0.86561,0.87402,0.58703,0.87416,0.41291,0.92426,0.00040462,0.00040462,0.00040462
115,7913.13,0.53214,0.28253,0.80835,0.86933,0.82033,0.87334,0.59431,0.87784,0.41027,0.92634,0.000397019,0.000397019,0.000397019
116,7978.72,0.53732,0.28199,0.80634,0.89294,0.80597,0.86059,0.58206,0.87002,0.40584,0.92168,0.000389445,0.000389445,0.000389445
117,8042.16,0.53264,0.28151,0.8119,0.83667,0.84956,0.86677,0.57881,0.86463,0.40118,0.92115,0.000381899,0.000381899,0.000381899
118,8107.8,0.53301,0.28154,0.8035,0.89466,0.83087,0.87484,0.59533,0.88017,0.40239,0.92538,0.000374383,0.000374383,0.000374383
119,8173.54,0.5349,0.27915,0.80343,0.87359,0.85689,0.86816,0.58783,0.88767,0.40466,0.92577,0.000366899,0.000366899,0.000366899
120,8239.06,0.52995,0.27994,0.80674,0.80099,0.86191,0.85355,0.57793,0.87261,0.4026,0.92705,0.00035945,0.00035945,0.00035945
121,8304.58,0.51234,0.27492,0.80359,0.92809,0.77072,0.86172,0.58125,0.88013,0.41091,0.9284,0.000352037,0.000352037,0.000352037
122,8372.09,0.487,0.26127,0.80408,0.86445,0.83666,0.86891,0.58961,0.87183,0.39846,0.92568,0.000344661,0.000344661,0.000344661
123,8437.9,0.50008,0.26665,0.80164,0.86634,0.81746,0.85731,0.59413,0.86699,0.40642,0.91885,0.000337325,0.000337325,0.000337325
124,8501.35,0.52036,0.27559,0.8069,0.79296,0.87018,0.85984,0.59733,0.86545,0.39828,0.92151,0.00033003,0.00033003,0.00033003
125,8566.96,0.48457,0.25968,0.80263,0.84573,0.86809,0.87528,0.59349,0.87428,0.40862,0.92453,0.000322778,0.000322778,0.000322778
126,8634.64,0.51464,0.27351,0.8045,0.83234,0.87273,0.86733,0.5868,0.8603,0.39898,0.91667,0.000315572,0.000315572,0.000315572
127,8703.3,0.48866,0.26029,0.79875,0.82216,0.86528,0.87315,0.59283,0.8643,0.40151,0.91908,0.000308412,0.000308412,0.000308412
128,8769.84,0.48664,0.25907,0.79912,0.89784,0.82614,0.87355,0.59883,0.86772,0.39917,0.92396,0.0003013,0.0003013,0.0003013
129,8841.46,0.4805,0.25815,0.80025,0.9218,0.82254,0.88548,0.60344,0.85795,0.39383,0.91947,0.000294239,0.000294239,0.000294239
130,8907.19,0.48302,0.25485,0.80221,0.8442,0.87143,0.87284,0.59603,0.87272,0.39848,0.9224,0.00028723,0.00028723,0.00028723
131,8971.07,0.51321,0.26819,0.80293,0.93181,0.8123,0.88551,0.605,0.87538,0.40007,0.92344,0.000280275,0.000280275,0.000280275
132,9039.48,0.50855,0.26809,0.80253,0.88156,0.83608,0.87866,0.60337,0.87061,0.39774,0.92254,0.000273375,0.000273375,0.000273375
133,9107.5,0.4892,0.25934,0.80107,0.86346,0.86066,0.88056,0.59579,0.86791,0.39598,0.921,0.000266532,0.000266532,0.000266532
134,9175.17,0.49506,0.26188,0.8035,0.88346,0.83721,0.86918,0.59619,0.8736,0.4051,0.92338,0.000259748,0.000259748,0.000259748
135,9240.54,0.4767,0.25148,0.80217,0.87544,0.8599,0.88105,0.59582,0.88194,0.39927,0.92568,0.000253024,0.000253024,0.000253024
136,9306.55,0.47953,0.24972,0.80201,0.90455,0.79993,0.86467,0.59009,0.86605,0.39171,0.92639,0.000246363,0.000246363,0.000246363
137,9373.61,0.47186,0.24983,0.79956,0.85205,0.851,0.87312,0.60245,0.87104,0.39664,0.92818,0.000239766,0.000239766,0.000239766
138,9439.38,0.48049,0.25179,0.80047,0.8621,0.85495,0.86951,0.58694,0.87687,0.39687,0.9258,0.000233234,0.000233234,0.000233234
139,9505.13,0.48005,0.25123,0.80196,0.87831,0.82221,0.8697,0.59437,0.87312,0.39417,0.9249,0.000226769,0.000226769,0.000226769
140,9566.89,0.47743,0.25159,0.80014,0.85148,0.85261,0.87816,0.59849,0.87407,0.39111,0.92622,0.000220372,0.000220372,0.000220372
141,9628.07,0.45772,0.24512,0.79877,0.87032,0.84711,0.87277,0.59486,0.86653,0.38795,0.9239,0.000214046,0.000214046,0.000214046
142,9695.63,0.47631,0.24863,0.7973,0.86427,0.85187,0.87886,0.59892,0.87312,0.39978,0.92748,0.000207792,0.000207792,0.000207792
143,9760.92,0.47229,0.25016,0.80509,0.8721,0.84378,0.88229,0.59944,0.86689,0.39919,0.92575,0.000201611,0.000201611,0.000201611
144,9828.13,0.46739,0.24816,0.80018,0.84448,0.86613,0.87213,0.60256,0.86138,0.38983,0.92224,0.000195505,0.000195505,0.000195505
145,9894.2,0.46504,0.24408,0.79549,0.88038,0.84657,0.87798,0.59571,0.86026,0.38389,0.9206,0.000189475,0.000189475,0.000189475
146,9955.75,0.46769,0.24254,0.80224,0.88075,0.84806,0.89094,0.60895,0.86029,0.38125,0.91958,0.000183523,0.000183523,0.000183523
147,10029.2,0.44977,0.236,0.794,0.83688,0.87796,0.87605,0.59142,0.86524,0.39188,0.92068,0.000177651,0.000177651,0.000177651
148,10092.8,0.45298,0.23888,0.79708,0.90265,0.83168,0.87805,0.60514,0.86203,0.38945,0.92161,0.000171859,0.000171859,0.000171859
149,10158.4,0.45176,0.23741,0.79388,0.90653,0.83325,0.8814,0.60186,0.86377,0.38813,0.91997,0.000166149,0.000166149,0.000166149
150,10224.2,0.4542,0.23562,0.79846,0.89748,0.85154,0.88532,0.60485,0.8576,0.37859,0.91972,0.000160523,0.000160523,0.000160523
